date,year,month,day_of_week,day_of_month,week_of_year,season,barangay_id,medicine_name,medicine_category,quantity_requested
2021-08-28,2021,8,5,28,34,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2021-09-20,2021,9,0,20,38,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2021-10-12,2021,10,1,12,41,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2021-11-01,2021,11,0,1,44,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,2
2021-11-25,2021,11,3,25,47,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2021-12-18,2021,12,5,18,50,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2022-01-07,2022,1,4,7,1,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2022-02-01,2022,2,1,1,5,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-02-23,2022,2,2,23,8,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,7
2022-03-14,2022,3,0,14,11,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,8
2022-04-02,2022,4,5,2,13,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,2
2022-04-23,2022,4,5,23,16,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,8
2022-05-18,2022,5,2,18,20,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,5
2022-06-11,2022,6,5,11,23,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2022-07-06,2022,7,2,6,27,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,1
2022-07-31,2022,7,6,31,30,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2022-08-23,2022,8,1,23,34,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-09-16,2022,9,4,16,37,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-10-05,2022,10,2,5,40,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-10-30,2022,10,6,30,43,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-11-20,2022,11,6,20,46,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,7
2022-12-09,2022,12,4,9,49,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2022-12-28,2022,12,2,28,52,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,5
2023-01-18,2023,1,2,18,3,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,7
2023-02-10,2023,2,4,10,6,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,5
2023-03-01,2023,3,2,1,9,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2023-03-26,2023,3,6,26,12,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,5
2023-04-14,2023,4,4,14,15,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,9
2023-05-05,2023,5,4,5,18,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,9
2023-05-28,2023,5,6,28,21,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,7
2023-06-19,2023,6,0,19,25,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,8
2023-07-14,2023,7,4,14,28,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2023-08-02,2023,8,2,2,31,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2023-08-26,2023,8,5,26,34,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,7
2023-09-20,2023,9,2,20,38,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,5
2023-10-10,2023,10,1,10,41,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,12
2023-11-03,2023,11,4,3,44,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,5
2023-11-22,2023,11,2,22,47,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2023-12-17,2023,12,6,17,50,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2024-01-08,2024,1,0,8,2,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2024-01-28,2024,1,6,28,4,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2024-02-20,2024,2,1,20,8,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2024-03-11,2024,3,0,11,11,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,6
2024-04-05,2024,4,4,5,14,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2024-05-22,2024,5,2,22,21,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2024-06-11,2024,6,1,11,24,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2024-07-06,2024,7,5,6,27,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2024-07-31,2024,7,2,31,31,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,11
2024-08-23,2024,8,4,23,34,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,1
2024-09-13,2024,9,4,13,37,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2024-10-03,2024,10,3,3,40,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,10
2024-10-28,2024,10,0,28,44,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,7
2024-11-19,2024,11,1,19,47,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2024-12-08,2024,12,6,8,49,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,6
2024-12-30,2024,12,0,30,1,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,6
2025-01-24,2025,1,4,24,4,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,9
2025-02-12,2025,2,2,12,7,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2025-03-03,2025,3,0,3,10,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,8
2025-03-24,2025,3,0,24,13,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,1
2025-04-15,2025,4,1,15,16,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,8
2025-05-04,2025,5,6,4,18,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2025-05-27,2025,5,1,27,22,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2025-06-21,2025,6,5,21,25,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2025-07-15,2025,7,1,15,29,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2025-08-04,2025,8,0,4,32,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2025-08-23,2025,8,5,23,34,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,11
2025-09-17,2025,9,2,17,38,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,8
2025-10-06,2025,10,0,6,41,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,7
2025-10-29,2025,10,2,29,44,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2025-11-20,2025,11,3,20,47,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,5
2025-12-14,2025,12,6,14,50,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,7
2026-01-06,2026,1,1,6,2,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,3
2026-01-30,2026,1,4,30,5,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,7
2026-02-19,2026,2,3,19,8,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,8
2026-03-12,2026,3,3,12,11,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,6
2026-04-03,2026,4,4,3,14,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,5
2026-04-26,2026,4,6,26,17,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,2
2026-05-19,2026,5,1,19,21,Dry,BRGY001,Paracetamol 500mg,Pain Reliever,4
2026-06-07,2026,6,6,7,23,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2026-06-29,2026,6,0,29,27,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,6
2026-07-19,2026,7,6,19,29,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,4
2026-08-13,2026,8,3,13,33,Wet,BRGY001,Paracetamol 500mg,Pain Reliever,3
2021-08-25,2021,8,2,25,34,Wet,BRGY001,Biogesic,Pain Reliever,1
2021-09-06,2021,9,0,6,36,Wet,BRGY001,Biogesic,Pain Reliever,5
2021-09-20,2021,9,0,20,38,Wet,BRGY001,Biogesic,Pain Reliever,5
2021-10-02,2021,10,5,2,39,Wet,BRGY001,Biogesic,Pain Reliever,4
2021-10-17,2021,10,6,17,41,Wet,BRGY001,Biogesic,Pain Reliever,2
2021-11-02,2021,11,1,2,44,Wet,BRGY001,Biogesic,Pain Reliever,2
2021-11-19,2021,11,4,19,46,Wet,BRGY001,Biogesic,Pain Reliever,7
2021-12-02,2021,12,3,2,48,Dry,BRGY001,Biogesic,Pain Reliever,9
2021-12-13,2021,12,0,13,50,Dry,BRGY001,Biogesic,Pain Reliever,5
2021-12-25,2021,12,5,25,51,Dry,BRGY001,Biogesic,Pain Reliever,4
2022-01-11,2022,1,1,11,2,Dry,BRGY001,Biogesic,Pain Reliever,8
2022-01-24,2022,1,0,24,4,Dry,BRGY001,Biogesic,Pain Reliever,5
2022-02-04,2022,2,4,4,5,Dry,BRGY001,Biogesic,Pain Reliever,7
2022-02-16,2022,2,2,16,7,Dry,BRGY001,Biogesic,Pain Reliever,6
2022-02-27,2022,2,6,27,8,Dry,BRGY001,Biogesic,Pain Reliever,3
2022-03-15,2022,3,1,15,11,Dry,BRGY001,Biogesic,Pain Reliever,8
2022-03-26,2022,3,5,26,12,Dry,BRGY001,Biogesic,Pain Reliever,6
2022-04-10,2022,4,6,10,14,Dry,BRGY001,Biogesic,Pain Reliever,4
2022-04-27,2022,4,2,27,17,Dry,BRGY001,Biogesic,Pain Reliever,2
2022-05-11,2022,5,2,11,19,Dry,BRGY001,Biogesic,Pain Reliever,5
2022-05-28,2022,5,5,28,21,Dry,BRGY001,Biogesic,Pain Reliever,3
2022-06-08,2022,6,2,8,23,Wet,BRGY001,Biogesic,Pain Reliever,6
2022-06-22,2022,6,2,22,25,Wet,BRGY001,Biogesic,Pain Reliever,1
2022-07-08,2022,7,4,8,27,Wet,BRGY001,Biogesic,Pain Reliever,8
2022-07-25,2022,7,0,25,30,Wet,BRGY001,Biogesic,Pain Reliever,3
2022-08-05,2022,8,4,5,31,Wet,BRGY001,Biogesic,Pain Reliever,7
2022-08-18,2022,8,3,18,33,Wet,BRGY001,Biogesic,Pain Reliever,4
2022-09-04,2022,9,6,4,35,Wet,BRGY001,Biogesic,Pain Reliever,5
2022-09-20,2022,9,1,20,38,Wet,BRGY001,Biogesic,Pain Reliever,3
2022-10-07,2022,10,4,7,40,Wet,BRGY001,Biogesic,Pain Reliever,7
2022-10-20,2022,10,3,20,42,Wet,BRGY001,Biogesic,Pain Reliever,5
2022-11-04,2022,11,4,4,44,Wet,BRGY001,Biogesic,Pain Reliever,8
2022-11-15,2022,11,1,15,46,Wet,BRGY001,Biogesic,Pain Reliever,2
2022-12-01,2022,12,3,1,48,Dry,BRGY001,Biogesic,Pain Reliever,11
2022-12-18,2022,12,6,18,50,Dry,BRGY001,Biogesic,Pain Reliever,1
2023-01-04,2023,1,2,4,1,Dry,BRGY001,Biogesic,Pain Reliever,8
2023-01-21,2023,1,5,21,3,Dry,BRGY001,Biogesic,Pain Reliever,7
2023-02-02,2023,2,3,2,5,Dry,BRGY001,Biogesic,Pain Reliever,8
2023-02-18,2023,2,5,18,7,Dry,BRGY001,Biogesic,Pain Reliever,4
2023-03-02,2023,3,3,2,9,Dry,BRGY001,Biogesic,Pain Reliever,5
2023-03-28,2023,3,1,28,13,Dry,BRGY001,Biogesic,Pain Reliever,7
2023-04-13,2023,4,3,13,15,Dry,BRGY001,Biogesic,Pain Reliever,2
2023-04-27,2023,4,3,27,17,Dry,BRGY001,Biogesic,Pain Reliever,9
