date,year,month,day_of_week,day_of_month,week_of_year,season,medicine_name,medicine_category,quantity_dispensed
2021-08-14,2021,8,5,14,32,Wet,Paracetamol 500mg,Pain Reliever,4
2021-08-16,2021,8,0,16,33,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-17,2021,8,1,17,33,Wet,Paracetamol 500mg,Pain Reliever,6
2021-08-18,2021,8,2,18,33,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-19,2021,8,3,19,33,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-20,2021,8,4,20,33,Wet,Paracetamol 500mg,Pain Reliever,6
2021-08-21,2021,8,5,21,33,Wet,Paracetamol 500mg,Pain Reliever,4
2021-08-22,2021,8,6,22,33,Wet,Paracetamol 500mg,Pain Reliever,6
2021-08-23,2021,8,0,23,34,Wet,Paracetamol 500mg,Pain Reliever,4
2021-08-24,2021,8,1,24,34,Wet,Paracetamol 500mg,Pain Reliever,6
2021-08-25,2021,8,2,25,34,Wet,Paracetamol 500mg,Pain Reliever,5
2021-08-26,2021,8,3,26,34,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-27,2021,8,4,27,34,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-28,2021,8,5,28,34,Wet,Paracetamol 500mg,Pain Reliever,7
2021-08-30,2021,8,0,30,35,Wet,Paracetamol 500mg,Pain Reliever,6
2021-08-31,2021,8,1,31,35,Wet,Paracetamol 500mg,Pain Reliever,6
2021-09-01,2021,9,2,1,35,Wet,Paracetamol 500mg,Pain Reliever,10
2021-09-02,2021,9,3,2,35,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-03,2021,9,4,3,35,Wet,Paracetamol 500mg,Pain Reliever,7
2021-09-04,2021,9,5,4,35,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-06,2021,9,0,6,36,Wet,Paracetamol 500mg,Pain Reliever,6
2021-09-07,2021,9,1,7,36,Wet,Paracetamol 500mg,Pain Reliever,11
2021-09-08,2021,9,2,8,36,Wet,Paracetamol 500mg,Pain Reliever,6
2021-09-09,2021,9,3,9,36,Wet,Paracetamol 500mg,Pain Reliever,7
2021-09-10,2021,9,4,10,36,Wet,Paracetamol 500mg,Pain Reliever,9
2021-09-11,2021,9,5,11,36,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-12,2021,9,6,12,36,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-13,2021,9,0,13,37,Wet,Paracetamol 500mg,Pain Reliever,4
2021-09-14,2021,9,1,14,37,Wet,Paracetamol 500mg,Pain Reliever,2
2021-09-15,2021,9,2,15,37,Wet,Paracetamol 500mg,Pain Reliever,11
2021-09-16,2021,9,3,16,37,Wet,Paracetamol 500mg,Pain Reliever,7
2021-09-17,2021,9,4,17,37,Wet,Paracetamol 500mg,Pain Reliever,7
2021-09-18,2021,9,5,18,37,Wet,Paracetamol 500mg,Pain Reliever,6
2021-09-19,2021,9,6,19,37,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-20,2021,9,0,20,38,Wet,Paracetamol 500mg,Pain Reliever,8
2021-09-21,2021,9,1,21,38,Wet,Paracetamol 500mg,Pain Reliever,14
2021-09-22,2021,9,2,22,38,Wet,Paracetamol 500mg,Pain Reliever,10
2021-09-23,2021,9,3,23,38,Wet,Paracetamol 500mg,Pain Reliever,5
2021-09-24,2021,9,4,24,38,Wet,Paracetamol 500mg,Pain Reliever,7
2021-09-25,2021,9,5,25,38,Wet,Paracetamol 500mg,Pain Reliever,3
2021-09-26,2021,9,6,26,38,Wet,Paracetamol 500mg,Pain Reliever,3
2021-09-27,2021,9,0,27,39,Wet,Paracetamol 500mg,Pain Reliever,4
2021-09-28,2021,9,1,28,39,Wet,Paracetamol 500mg,Pain Reliever,9
2021-09-29,2021,9,2,29,39,Wet,Paracetamol 500mg,Pain Reliever,9
2021-09-30,2021,9,3,30,39,Wet,Paracetamol 500mg,Pain Reliever,2
2021-10-01,2021,10,4,1,39,Wet,Paracetamol 500mg,Pain Reliever,7
