request_date,year,month,day_of_week,day_of_month,week_of_year,season,medicine_name,medicine_category,quantity_requested,days_since_last_request
2021-08-25,2021,8,2,25,34,Wet,Paracetamol 500mg,Pain Reliever,138,13
2021-09-05,2021,9,6,5,35,Wet,Paracetamol 500mg,Pain Reliever,114,13
2021-09-19,2021,9,6,19,37,Wet,Paracetamol 500mg,Pain Reliever,131,13
2021-10-04,2021,10,0,4,40,Wet,Paracetamol 500mg,Pain Reliever,104,13
2021-10-19,2021,10,1,19,42,Wet,Paracetamol 500mg,Pain Reliever,117,13
2021-11-02,2021,11,1,2,44,Wet,Paracetamol 500mg,Pain Reliever,131,13
2021-11-16,2021,11,1,16,46,Wet,Paracetamol 500mg,Pain Reliever,125,13
2021-11-28,2021,11,6,28,47,Wet,Paracetamol 500mg,Pain Reliever,124,13
2021-12-11,2021,12,5,11,49,Dry,Paracetamol 500mg,Pain Reliever,123,13
2021-12-27,2021,12,0,27,52,Dry,Paracetamol 500mg,Pain Reliever,131,13
2022-01-09,2022,1,6,9,1,Dry,Paracetamol 500mg,Pain Reliever,131,13
2022-01-21,2022,1,4,21,3,Dry,Paracetamol 500mg,Pain Reliever,134,13
2022-02-01,2022,2,1,1,5,Dry,Paracetamol 500mg,Pain Reliever,139,13
2022-02-15,2022,2,1,15,7,Dry,Paracetamol 500mg,Pain Reliever,118,13
2022-02-28,2022,2,0,28,9,Dry,Paracetamol 500mg,Pain Reliever,112,13
2022-03-16,2022,3,2,16,11,Dry,Paracetamol 500mg,Pain Reliever,115,13
2022-03-27,2022,3,6,27,12,Dry,Paracetamol 500mg,Pain Reliever,133,13
2022-04-11,2022,4,0,11,15,Dry,Paracetamol 500mg,Pain Reliever,117,13
2022-04-25,2022,4,0,25,17,Dry,Paracetamol 500mg,Pain Reliever,150,13
2022-05-10,2022,5,1,10,19,Dry,Paracetamol 500mg,Pain Reliever,135,13
2022-05-25,2022,5,2,25,21,Dry,Paracetamol 500mg,Pain Reliever,116,13
2022-06-08,2022,6,2,8,23,Wet,Paracetamol 500mg,Pain Reliever,124,13
2022-06-22,2022,6,2,22,25,Wet,Paracetamol 500mg,Pain Reliever,130,13
2022-07-05,2022,7,1,5,27,Wet,Paracetamol 500mg,Pain Reliever,129,13
2022-07-21,2022,7,3,21,29,Wet,Paracetamol 500mg,Pain Reliever,115,13
2022-07-31,2022,7,6,31,30,Wet,Paracetamol 500mg,Pain Reliever,137,13
2022-08-16,2022,8,1,16,33,Wet,Paracetamol 500mg,Pain Reliever,139,13
2022-08-28,2022,8,6,28,34,Wet,Paracetamol 500mg,Pain Reliever,138,13
2022-09-08,2022,9,3,8,36,Wet,Paracetamol 500mg,Pain Reliever,123,13
2022-09-24,2022,9,5,24,38,Wet,Paracetamol 500mg,Pain Reliever,141,13
2022-10-04,2022,10,1,4,40,Wet,Paracetamol 500mg,Pain Reliever,105,13
2022-10-18,2022,10,1,18,42,Wet,Paracetamol 500mg,Pain Reliever,135,13
2022-10-30,2022,10,6,30,43,Wet,Paracetamol 500mg,Pain Reliever,130,13
2022-11-15,2022,11,1,15,46,Wet,Paracetamol 500mg,Pain Reliever,135,13
2022-11-26,2022,11,5,26,47,Wet,Paracetamol 500mg,Pain Reliever,118,13
2022-12-08,2022,12,3,8,49,Dry,Paracetamol 500mg,Pain Reliever,128,13
2022-12-19,2022,12,0,19,51,Dry,Paracetamol 500mg,Pain Reliever,126,13
2023-01-04,2023,1,2,4,1,Dry,Paracetamol 500mg,Pain Reliever,127,13
2023-01-17,2023,1,1,17,3,Dry,Paracetamol 500mg,Pain Reliever,146,13
2023-01-31,2023,1,1,31,5,Dry,Paracetamol 500mg,Pain Reliever,129,13
2023-02-14,2023,2,1,14,7,Dry,Paracetamol 500mg,Pain Reliever,108,13
2023-03-01,2023,3,2,1,9,Dry,Paracetamol 500mg,Pain Reliever,143,13
2023-03-16,2023,3,3,16,11,Dry,Paracetamol 500mg,Pain Reliever,132,13
2023-03-29,2023,3,2,29,13,Dry,Paracetamol 500mg,Pain Reliever,118,13
2023-04-13,2023,4,3,13,15,Dry,Paracetamol 500mg,Pain Reliever,129,13
2023-04-26,2023,4,2,26,17,Dry,Paracetamol 500mg,Pain Reliever,123,13
2023-05-06,2023,5,5,6,18,Dry,Paracetamol 500mg,Pain Reliever,118,13
2023-05-19,2023,5,4,19,20,Dry,Paracetamol 500mg,Pain Reliever,123,13
2023-06-03,2023,6,5,3,22,Wet,Paracetamol 500mg,Pain Reliever,128,13
2023-06-17,2023,6,5,17,24,Wet,Paracetamol 500mg,Pain Reliever,134,13
2023-07-03,2023,7,0,3,27,Wet,Paracetamol 500mg,Pain Reliever,115,13
2023-07-13,2023,7,3,13,28,Wet,Paracetamol 500mg,Pain Reliever,124,13
2023-07-24,2023,7,0,24,30,Wet,Paracetamol 500mg,Pain Reliever,158,13
2023-08-04,2023,8,4,4,31,Wet,Paracetamol 500mg,Pain Reliever,135,13
2023-08-14,2023,8,0,14,33,Wet,Paracetamol 500mg,Pain Reliever,125,13
2023-08-24,2023,8,3,24,34,Wet,Paracetamol 500mg,Pain Reliever,132,13
2023-09-07,2023,9,3,7,36,Wet,Paracetamol 500mg,Pain Reliever,119,13
2023-09-19,2023,9,1,19,38,Wet,Paracetamol 500mg,Pain Reliever,123,13
2023-10-04,2023,10,2,4,40,Wet,Paracetamol 500mg,Pain Reliever,123,13
2023-10-19,2023,10,3,19,42,Wet,Paracetamol 500mg,Pain Reliever,124,13
2023-10-29,2023,10,6,29,43,Wet,Paracetamol 500mg,Pain Reliever,114,13
2023-11-12,2023,11,6,12,45,Wet,Paracetamol 500mg,Pain Reliever,142,13
